FIPS,State,County,Population,% Diabetic,# Primary Care Physicians,% Uninsured,Food Environment Index,% Obese,% Food Insecure,% Limited Access,Household Income,Graduation Rate,% Unemployed,Preventable Hosp. Rate
51045,Virginia,Craig,5062,11.5,1,9.600997506,8.6,29.6,9.9,4.282651397,50210,89.1,4.366438356,3848
51047,Virginia,Culpeper,51282,10.8,21,12.76379723,9.1,32.3,8.6,1.415837679,69318,89.8,3.615572185,4627
51049,Virginia,Cumberland,9811,16.3,3,12.35201263,5.5,35.4,16.9,23.91927986,44699,94.9,4.229607251,6197
51051,Virginia,Dickenson,14782,12,4,11.5226697,,35.6,14.7,,33383,87.7,7.327586207,5112
51053,Virginia,Dinwiddie,28208,13,4,11.28512816,7.5,34.2,13.8,7.611135947,57284,89.5,4.503974095,5965
51057,Virginia,Essex,11028,14.4,2,11.63112392,7.1,37,15.2,10.05285716,50112,86,5.009140768,4364
51059,Virginia,Fairfax,1148433,6.9,1218,9.322563105,9.7,23.2,5,1.77773435,117989,91.4,3.043840063,3271
51061,Virginia,Fauquier,69465,10.7,35,9.332942232,9.6,26.1,5.9,1.136034291,96835,95.8,3.27553516,5056
51063,Virginia,Floyd,15755,11.1,4,12.83160558,8.3,29.2,8.5,10.30718082,48341,93.5,3.694550846,2815
51065,Virginia,Fluvanna,26452,11.4,8,11.09390609,9,28,8,2.627331147,71863,97.4,3.054959686,3614
51067,Virginia,Franklin,56445,11.3,22,12.04739805,8.3,30.6,10,6.487170035,51031,93.5,3.96625439,3945
51069,Virginia,Frederick,86484,9.6,36,10.14207242,9.4,29.7,5.8,3.628618044,72139,94.8,3.192500432,6013
51071,Virginia,Giles,16837,12.2,8,11.10110336,9,31.7,9.6,0.321761551,52808,89.9,4.719726686,3662
51073,Virginia,Gloucester,37292,11.9,22,9.507438017,9.1,32.3,7.8,2.870565705,63902,90.4,3.361997514,3971
51075,Virginia,Goochland,22685,12.4,18,6.312098188,9.1,28.8,7.2,3.435216062,100686,96.5,3.49165831,3177
51077,Virginia,Grayson,15665,11.4,4,12.71599468,7.8,29.5,11.4,9.356118653,37247,96.4,4.307479224,4541
